name,POI,geometry
servaid pharmacy - dd phase 4 dha lahore,Pharmacies,POINT (8280316.8347409805 3692993.839631376)
al faisal pharmacy,Pharmacies,POINT (8279350.614956742 3692440.1647698386)
royal care pharmacy,Pharmacies,POINT (8266320.189885578 3685138.637908352)
al haseeb pharmacy,Pharmacies,POINT (8267750.55628668 3688274.456658704)
punjab plus pharmacy,Pharmacies,POINT (8267813.529722621 3685989.8199430294)
servaid 2b pharmacy,Pharmacies,POINT (8267424.167539673 3690130.442105768)
servaid pharmacy,Pharmacies,POINT (8276572.982154417 3703570.578004417)
hayat sons pharmacy,Pharmacies,POINT (8276065.35414445 3701220.288855304)
hajvery pharmacy,Pharmacies,POINT (8277585.611034367 3700517.788547783)
my pharmacy,Pharmacies,POINT (8276206.228960048 3700961.0221716776)
akram pharmacy,Pharmacies,POINT (8275173.306536927 3702877.777412607)
halcyon pharmacy,Pharmacies,POINT (8276329.493032205 3700884.221367599)
masood pharmacy,Pharmacies,POINT (8275822.677654521 3702397.002868778)
akram pharmacy,Pharmacies,POINT (8277585.611034367 3700517.788547783)
new boots super pharmacy,Pharmacies,POINT (8274734.9860419305 3703398.8011665684)
mahmood pharmacy,Pharmacies,POINT (8274824.09729431 3703206.4286103277)
chughtai pharmacy,Pharmacies,POINT (8275773.897453656 3702444.374188616)
decent pharmacy,Pharmacies,POINT (8274733.04908279 3703321.0053810864)
redox pharmacy,Pharmacies,POINT (8265650.291453883 3693326.649106217)
sheikh  26 son's pharmacy,Pharmacies,POINT (8267070.53891327 3688876.0052557955)
s. n pharmacy,Pharmacies,POINT (8272456.643419711 3696029.1482020156)
3hu medicare pharmacy,Pharmacies,POINT (8270909.981546579 3695003.1021118467)
physio pharmacy,Pharmacies,POINT (8265408.639103269 3693264.017431896)
white pharmacy,Pharmacies,POINT (8277585.611034367 3700517.788547783)
health aid pharmacy,Pharmacies,POINT (8278641.142446069 3710334.9797804058)
csh pharmacy,Pharmacies,POINT (8279694.915009816 3694398.8242164208)
umer pharmacy,Pharmacies,POINT (8284559.142611467 3695454.933450109)
eman pharmacy,Pharmacies,POINT (8277793.956593337 3704679.786167051)
mediway pharmacy,Pharmacies,POINT (8270739.595933968 3689249.6430147965)
sohail ashraf pharmacy,Pharmacies,POINT (8271322.353468271 3689500.3242237084)
convenience plus pharmacy  26 healthcare,Pharmacies,POINT (8272417.013680987 3689207.528449591)
medica plus pharmacy,Pharmacies,POINT (8269986.330335618 3686768.079672469)
rasheed pharmacy,Pharmacies,POINT (8271281.098464984 3689530.8149450524)
pharmacy,Pharmacies,POINT (8271522.995718477 3689271.339639532)
awan pharmacy (main branch),Pharmacies,POINT (8272038.338169156 3689136.985573113)
saeed care pharmacy,Pharmacies,POINT (8271864.301277251 3689321.4781685374)
apple pharmacy by greens,Pharmacies,POINT (8269090.776164135 3687849.685411754)
vip medical store,Pharmacies,POINT (8271041.472129102 3689074.4275460867)
doctors pharma plus pharmacy,Pharmacies,POINT (8268957.972011618 3687472.73790487)
bismillah medical store,Pharmacies,POINT (8271273.818170286 3687988.48683807)
al shifa pharmacy,Pharmacies,POINT (8271061.776804223 3689169.3280028678)
new rahat pharmacy,Pharmacies,POINT (8269086.646211027 3687914.5722734854)
supercare pharmacy,Pharmacies,POINT (8267541.954692882 3686918.791203844)
shuraim pharmacy,Pharmacies,POINT (8269708.610469988 3694075.8135507344)
community pharmacy,Pharmacies,POINT (8271608.143996987 3693193.2423296412)
ali pharmacy  d8 b9 d9 84 db 8c  d9 81 d8 a7 d8 b1 d9 85 db 8c d8 b3 db 8c e2 80 ad,Pharmacies,POINT (8270660.425512117 3690934.1096954537)
shuraim pharmacy,Pharmacies,POINT (8270392.8023243025 3693667.951041643)
zia pharmacy,Pharmacies,POINT (8270886.860488339 3691574.4276103755)
pharmacy one 2b,Pharmacies,POINT (8269165.393618816 3694691.091752059)
med inn pharmacy,Pharmacies,POINT (8271271.280085897 3692510.5179060167)
pnp the pharmacy experts,Pharmacies,POINT (8268928.127256136 3695154.55479286)
the chemist pharmacy,Pharmacies,POINT (8271446.519228304 3692683.9555809535)
usman pharmacy,Pharmacies,POINT (8271271.9925306365 3692574.2158360817)
rahat pharmacy,Pharmacies,POINT (8271798.433534548 3693467.7836287203)
safdar pharmacy,Pharmacies,POINT (8263501.814149624 3689434.6852779733)
j pharmacy  26 mart,Pharmacies,POINT (8263336.037163934 3688399.4083008287)
clinicare pharmacy,Pharmacies,POINT (8265783.863710886 3693540.4527517674)
pharmacy,Pharmacies,POINT (8267175.190366565 3691586.4328313787)
servaid pharmacy,Pharmacies,POINT (8268053.990954683 3693887.7252472467)
rahbar pharmacy nawab town raiwind road,Pharmacies,POINT (8264954.221809901 3692275.565330573)
noor pharmacy,Pharmacies,POINT (8268026.817866983 3693704.925664056)
medilinq pharmacy,Pharmacies,POINT (8267652.38362775 3693778.757781056)
alliance business concept pharmacy,Pharmacies,POINT (8263405.968068051 3688829.547585841)
friends pharmacy,Pharmacies,POINT (8264105.622199636 3691958.2090441748)
pharma med plus,Pharmacies,POINT (8264131.849071666 3688454.031015985)
drug mart pharmacy,Pharmacies,POINT (8264860.279291621 3692926.4070446296)
shakoori pharmacy,Pharmacies,POINT (8268372.15319132 3690216.0607941323)
servaid pharmacy,Pharmacies,POINT (8263389.470519515 3688745.908569247)
new health mart pharmacy,Pharmacies,POINT (8273282.645173346 3697898.1797395144)
paramount pharmacy,Pharmacies,POINT (8274019.424355111 3699204.0619478305)
azhar medical store,Pharmacies,POINT (8263489.335234704 3689250.7258881186)
dukes  26 dukes pharmacy,Pharmacies,POINT (8261660.790146986 3689472.860459759)
emulous pharmacy,Pharmacies,POINT (8273256.128870638 3697067.408611747)
right aid pharmacy,Pharmacies,POINT (8274474.364850084 3695571.813184179)
shaafi pharmacy,Pharmacies,POINT (8277585.611034367 3700517.788547783)
access health pharmacy,Pharmacies,POINT (8273307.1688571675 3697903.963506368)
cure pharmacy,Pharmacies,POINT (8261812.49634904 3691981.1632357454)
blue pharma (pharmacy),Pharmacies,POINT (8260848.491822667 3689686.4140505083)
apple pharmacy by green in gulbahar,Pharmacies,POINT (8263003.726220018 3691962.5153986043)
servaid pharmacy eme dha phase xii,Pharmacies,POINT (8261663.996148321 3689400.0459048)
apple pharmacy gulbahar socitey,Pharmacies,POINT (8263002.835664093 3691960.310022963)
picks pharmacy,Pharmacies,POINT (8265763.84846644 3693384.5174565557)
blue lime pharmacy,Pharmacies,POINT (8260165.034676993 3688617.078727519)
allied medical pharmacy,Pharmacies,POINT (8264840.197255482 3692990.081041173)
publix pharmacy,Pharmacies,POINT (8265474.6070335135 3687986.073453952)
al kabir pharmacy,Pharmacies,POINT (8274060.000309503 3694058.976716925)
aziz son's pharma plus,Pharmacies,POINT (8274403.020188433 3695520.2261902383)
servaid pharmacy,Pharmacies,POINT (8272793.629782239 3693331.778157322)
7 star pharmacy  26 grocery store,Pharmacies,POINT (8272906.852836325 3693947.6453688135)
green pharmacy,Pharmacies,POINT (8279655.964319987 3694983.522914139)
crescent pharma,Pharmacies,POINT (8274616.831534401 3693875.8613329576)
rahbar pharmacy,Pharmacies,POINT (8265524.767596064 3683905.0696252016)
masood pharmacy,Pharmacies,POINT (8272014.081652112 3694950.3427720824)
qasim pharmacy,Pharmacies,POINT (8271834.411993973 3693549.144884864)
al barkat pharmacy,Pharmacies,POINT (8271436.600661673 3694590.366213694)
anjum pharmacy,Pharmacies,POINT (8270868.84899473 3694207.794248748)
clinix,Pharmacies,POINT (8271877.893387076 3693695.633055167)
pharmacy mart,Pharmacies,POINT (8271545.571311209 3694630.6067302115)
global pharmacy,Pharmacies,POINT (8270319.353724277 3690514.6087953933)
dildar pharmacy,Pharmacies,POINT (8270097.994916834 3690491.4877335154)
branded medical store,Pharmacies,POINT (8270823.118947912 3691370.7582229855)
qasim pharmacy and homeopathic store,Pharmacies,POINT (8271833.922188214 3693564.7019913704)
masood pharmacy,Pharmacies,POINT (8271802.385376471 3694775.3066144544)
fazal din pharmacy,Pharmacies,POINT (8271844.052261875 3693761.869150681)
redwell pharmacy,Pharmacies,POINT (8270870.451995397 3693751.7281527775)
ajmal pharmacy,Pharmacies,POINT (8271556.124398938 3694642.7454783786)
hamza pharmacy,Pharmacies,POINT (8272481.91294412 3700725.2670478844)
leading pharmacy,Pharmacies,POINT (8270519.706543806 3690395.8463337068)
muhammad pharmacy,Pharmacies,POINT (8269508.190858764 3693493.520560371)
tahir al.noor pharmacy,Pharmacies,POINT (8272130.377124145 3692814.6945012594)
khawaja brothers pharmacy,Pharmacies,POINT (8270800.498827383 3695612.017773862)
al-qamar pharmacy,Pharmacies,POINT (8268829.520451194 3698788.7684981665)
bashir sons pharmacy,Pharmacies,POINT (8269502.702807867 3699700.8109606854)
pharmaid,Pharmacies,POINT (8269531.768326913 3701156.7155747046)
servaid pharmacy (pvt) ltd,Pharmacies,POINT (8273769.968508191 3691796.800144644)
awan pharmacy,Pharmacies,POINT (8274609.796142582 3693227.944656603)
alive pharmacy,Pharmacies,POINT (8270692.864011735 3691011.9309786605)
mediway pharmacy,Pharmacies,POINT (8270860.744935799 3691511.374295393)
