name,POI,geometry
,Health Points,POINT (8268161.82089469 3699589.12848487)
,Health Points,POINT (8268144.49589469 3699537.90348487)
,Health Points,POINT (8268682.84589469 3699470.62848487)
,Health Points,POINT (8267413.24589469 3699208.50348487)
,Health Points,POINT (8267458.02089469 3699184.57848487)
,Health Points,POINT (8268801.34589469 3699039.82848487)
,Health Points,POINT (8267949.27089469 3699018.00348487)
,Health Points,POINT (8268771.19589469 3698996.55348487)
,Health Points,POINT (8268954.87089469 3698728.65348487)
,Health Points,POINT (8268062.97089469 3702021.45348487)
,Health Points,POINT (8268679.84589469 3701787.30348487)
,Health Points,POINT (8268538.62089469 3701631.75348487)
,Health Points,POINT (8268915.79589469 3701411.47848487)
,Health Points,POINT (8267644.09589469 3701398.57848487)
,Health Points,POINT (8267776.99589469 3701358.00348487)
,Health Points,POINT (8267414.74589469 3701343.67848487)
,Health Points,POINT (8268931.32089469 3701130.22848487)
,Health Points,POINT (8267771.59589469 3701006.55348487)
,Health Points,POINT (8268675.12089469 3700960.27848487)
,Health Points,POINT (8267461.02089469 3700934.85348487)
,Health Points,POINT (8267607.34589469 3700858.80348487)
,Health Points,POINT (8267487.34589469 3700836.15348487)
,Health Points,POINT (8267993.14589469 3700829.17848487)
,Health Points,POINT (8267386.69589469 3700796.85348487)
,Health Points,POINT (8267366.44589469 3704204.70348487)
,Health Points,POINT (8268054.64589469 3703994.17848487)
,Health Points,POINT (8269067.74589469 3703955.40348487)
,Health Points,POINT (8267992.84589469 3703928.77848487)
,Health Points,POINT (8267296.24589469 3703912.27848487)
,Health Points,POINT (8267371.17089469 3703866.75348487)
,Health Points,POINT (8267278.32089469 3703570.12848487)
,Health Points,POINT (8268922.02089469 3703042.65348487)
,Health Points,POINT (8267455.69589469 3702851.85348487)
,Health Points,POINT (8268949.77089469 3702763.20348487)
,Health Points,POINT (8267696.97089469 3702748.12848487)
,Health Points,POINT (8268908.89589469 3702715.95348487)
,Health Points,POINT (8268207.19589469 3702692.92848487)
,Health Points,POINT (8267971.02089469 3702613.20348487)
,Health Points,POINT (8269059.34589469 3702453.22848487)
,Health Points,POINT (8267734.54589469 3702383.92848487)
,Health Points,POINT (8267688.27089469 3702349.87848487)
,Health Points,POINT (8269084.09589469 3706124.85348487)
,Health Points,POINT (8269056.34589469 3705987.15348487)
,Health Points,POINT (8269009.84589469 3705913.80348487)
,Health Points,POINT (8268215.22089469 3705863.92848487)
,Health Points,POINT (8268241.24589469 3705817.35348487)
,Health Points,POINT (8268627.64589469 3705571.80348487)
,Health Points,POINT (8268647.67089469 3705540.22848487)
,Health Points,POINT (8268975.72089469 3705060.37848487)
,Health Points,POINT (8268329.59589469 3704975.92848487)
,Health Points,POINT (8267267.29589469 3704878.35348487)
,Health Points,POINT (8268736.54589469 3704870.47848487)
,Health Points,POINT (8268691.17089469 3704836.50348487)
,Health Points,POINT (8268715.99589469 3704649.22848487)
,Health Points,POINT (8268433.54589469 3704390.10348487)
,Health Points,POINT (8268604.92089469 3704373.60348487)
,Health Points,POINT (8267514.49589469 3704324.47848487)
,Health Points,POINT (8268969.79589469 3711317.25348487)
,Health Points,POINT (8268264.27089469 3713569.12848487)
,Health Points,POINT (8269032.49589469 3713547.30348487)
,Health Points,POINT (8269073.07089469 3713435.02848487)
,Health Points,POINT (8267905.09589469 3713304.22848487)
,Health Points,POINT (8267967.79589469 3712962.15348487)
,Health Points,POINT (8267684.07089469 3712879.95348487)
,Health Points,POINT (8267529.42089469 3712776.07848487)
,Health Points,POINT (8267676.64589469 3712596.30348487)
,Health Points,POINT (8267450.29589469 3712445.25348487)
,Health Points,POINT (8267397.19589469 3712310.92848487)
,Health Points,POINT (8267805.04589469 3712108.50348487)
,Health Points,POINT (8267829.19589469 3715601.55348487)
,Health Points,POINT (8268169.92089469 3715521.45348487)
,Health Points,POINT (8268276.19589469 3714810.07848487)
,Health Points,POINT (8268100.02089469 3714806.70348487)
,Health Points,POINT (8268037.92089469 3714541.50348487)
,Health Points,POINT (8268869.14589469 3714526.95348487)
,Health Points,POINT (8267989.84589469 3714518.10348487)
,Health Points,POINT (8268972.79589469 3714511.72848487)
,Health Points,POINT (8268973.39589469 3714438.52848487)
,Health Points,POINT (8268842.29589469 3714124.20348487)
,Health Points,POINT (8268461.89589469 3713860.87848487)
,Health Points,POINT (8268972.49589469 3713840.77848487)
,Health Points,POINT (8268733.02089469 3717135.67848487)
,Health Points,POINT (8268865.24589469 3715902.52848487)
,Health Points,POINT (8268952.17089469 3718754.62848487)
,Health Points,POINT (8268964.09589469 3718688.92848487)
,Health Points,POINT (8268598.62089469 3718644.07848487)
,Health Points,POINT (8270040.49589469 3675579.90348487)
,Health Points,POINT (8269146.87089469 3675549.75348487)
,Health Points,POINT (8270067.64589469 3675540.75348487)
,Health Points,POINT (8269352.22089469 3679897.95348487)
,Health Points,POINT (8269563.64589469 3686017.20348487)
,Health Points,POINT (8269180.92089469 3688776.07848487)
,Health Points,POINT (8269874.82089469 3688504.35348487)
,Health Points,POINT (8269600.39589469 3688504.05348487)
,Health Points,POINT (8270920.77089469 3688397.70348487)
,Health Points,POINT (8269747.32089469 3688237.72848487)
,Health Points,POINT (8270720.67089469 3688217.40348487)
,Health Points,POINT (8270253.42089469 3688209.00348487)
,Health Points,POINT (8270556.49589469 3687447.07848487)
,Health Points,POINT (8269792.69589469 3690435.52848487)
,Health Points,POINT (8269929.12089469 3690419.10348487)
,Health Points,POINT (8270441.22089469 3690395.77848487)
,Health Points,POINT (8270605.17089469 3690360.60348487)
,Health Points,POINT (8270109.19589469 3690292.27848487)
,Health Points,POINT (8270737.09589469 3689949.97848487)
,Health Points,POINT (8270707.84589469 3689922.90348487)
,Health Points,POINT (8269836.87089469 3689855.40348487)
,Health Points,POINT (8269515.57089469 3689853.60348487)
,Health Points,POINT (8269814.74589469 3689801.62848487)
,Health Points,POINT (8269863.42089469 3689698.12848487)
,Health Points,POINT (8269912.39589469 3689621.85348487)
,Health Points,POINT (8270677.39589469 3689283.00348487)
,Health Points,POINT (8269648.77089469 3692488.65348487)
,Health Points,POINT (8269656.87089469 3692479.65348487)
,Health Points,POINT (8270511.64589469 3692347.42848487)
,Health Points,POINT (8269774.77089469 3692330.85348487)
,Health Points,POINT (8271039.87089469 3692239.87848487)
,Health Points,POINT (8270582.74589469 3692217.82848487)
,Health Points,POINT (8270898.64589469 3692199.07848487)
,Health Points,POINT (8271027.94589469 3692111.25348487)
,Health Points,POINT (8269521.57089469 3691995.60348487)
,Health Points,POINT (8270982.79589469 3691969.12848487)
,Health Points,POINT (8269502.74589469 3691677.07848487)
,Health Points,POINT (8270559.49589469 3694433.02848487)
,Health Points,POINT (8270892.64589469 3694432.42848487)
,Health Points,POINT (8269586.07089469 3694336.42848487)
,Health Points,POINT (8269750.92089469 3694327.05348487)
,Health Points,POINT (8269705.77089469 3694048.95348487)
,Health Points,POINT (8269944.94589469 3694032.30348487)
,Health Points,POINT (8271025.24589469 3693979.35348487)
,Health Points,POINT (8270829.94589469 3693891.30348487)
,Health Points,POINT (8271028.84589469 3693872.77848487)
,Health Points,POINT (8270719.17089469 3693690.07848487)
,Health Points,POINT (8270678.82089469 3693509.47848487)
,Health Points,POINT (8270404.47089469 3693489.52848487)
,Health Points,POINT (8270170.99589469 3693460.12848487)
,Health Points,POINT (8270152.47089469 3693335.32848487)
,Health Points,POINT (8269809.72089469 3693285.52848487)
,Health Points,POINT (8269809.42089469 3693120.97848487)
,Health Points,POINT (8269165.99589469 3693108.75348487)
,Health Points,POINT (8269672.92089469 3693018.07848487)
,Health Points,POINT (8269152.57089469 3692757.60348487)
,Health Points,POINT (8270183.52089469 3695986.57848487)
,Health Points,POINT (8270749.99589469 3695976.97848487)
,Health Points,POINT (8270585.74589469 3695931.90348487)
,Health Points,POINT (8270801.89589469 3695911.80348487)
,Health Points,POINT (8270690.82089469 3695889.75348487)
,Health Points,POINT (8270726.97089469 3695882.92848487)
,Health Points,POINT (8270817.42089469 3695861.02848487)
,Health Points,POINT (8270747.89589469 3695845.27848487)
,Health Points,POINT (8270688.72089469 3695805.60348487)
,Health Points,POINT (8270789.37089469 3695765.55348487)
,Health Points,POINT (8270973.87089469 3695740.20348487)
,Health Points,POINT (8270555.59589469 3695687.85348487)
,Health Points,POINT (8270842.24589469 3695612.70348487)
,Health Points,POINT (8270766.04589469 3695181.22848487)
,Health Points,POINT (8270602.39589469 3695178.52848487)
,Health Points,POINT (8271014.44589469 3695144.85348487)
,Health Points,POINT (8269937.52089469 3695069.85348487)
,Health Points,POINT (8269575.04589469 3694835.77848487)
,Health Points,POINT (8270900.44589469 3694653.07848487)
,Health Points,POINT (8269263.87089469 3698242.87848487)
,Health Points,POINT (8270534.37089469 3697760.10348487)
,Health Points,POINT (8269186.54589469 3700290.00348487)
,Health Points,POINT (8269467.57089469 3700222.20348487)
,Health Points,POINT (8270015.07089469 3700140.37848487)
,Health Points,POINT (8270299.99589469 3700102.20348487)
,Health Points,POINT (8269615.62089469 3699852.82848487)
,Health Points,POINT (8269641.57089469 3699848.70348487)
,Health Points,POINT (8269414.99589469 3699685.05348487)
,Health Points,POINT (8270794.69589469 3699680.85348487)
,Health Points,POINT (8270553.19589469 3699661.50348487)
,Health Points,POINT (8270218.77089469 3699593.47848487)
,Health Points,POINT (8270929.99589469 3699559.65348487)
,Health Points,POINT (8270991.79589469 3699517.57848487)
,Health Points,POINT (8269366.02089469 3699494.17848487)
,Health Points,POINT (8269428.72089469 3699462.37848487)
,Health Points,POINT (8270322.34589469 3699433.35348487)
,Health Points,POINT (8270096.07089469 3699302.55348487)
,Health Points,POINT (8270820.12089469 3699066.75348487)
,Health Points,POINT (8270946.72089469 3699066.15348487)
,Health Points,POINT (8269904.67089469 3698949.37848487)
,Health Points,POINT (8269892.97089469 3698903.62848487)
