name,POI,geometry
,Food Points,POINT (8263805 3676285)
,Food Points,POINT (8263788 3676198)
,Food Points,POINT (8263803 3676173)
,Food Points,POINT (8263790 3676171)
,Food Points,POINT (8264146 3675928)
,Food Points,POINT (8263913 3679108)
,Food Points,POINT (8264374 3678981)
,Food Points,POINT (8263977 3678873)
,Food Points,POINT (8263981 3678854)
,Food Points,POINT (8263992 3678837)
,Food Points,POINT (8264874 3678813)
,Food Points,POINT (8264907 3678798)
,Food Points,POINT (8264928 3678796)
,Food Points,POINT (8264126 3678064)
,Food Points,POINT (8264033 3677872)
,Food Points,POINT (8264766 3677769)
,Food Points,POINT (8263622 3680398)
,Food Points,POINT (8263910 3680381)
,Food Points,POINT (8265105 3680281)
,Food Points,POINT (8263947 3680267)
,Food Points,POINT (8263493 3680166)
,Food Points,POINT (8263747 3680129)
,Food Points,POINT (8263730 3680044)
,Food Points,POINT (8263724 3679968)
,Food Points,POINT (8263726 3679950)
,Food Points,POINT (8263623 3679779)
,Food Points,POINT (8263744 3679751)
,Food Points,POINT (8263743 3679706)
,Food Points,POINT (8263450 3679693)
,Food Points,POINT (8263844 3679504)
,Food Points,POINT (8263905 3679307)
,Food Points,POINT (8264551 3682828)
,Food Points,POINT (8263670 3682732)
,Food Points,POINT (8263277 3682619)
,Food Points,POINT (8263244 3682573)
,Food Points,POINT (8263349 3681497)
,Food Points,POINT (8263680 3681402)
,Food Points,POINT (8263481 3681144)
,Food Points,POINT (8263264 3684461)
,Food Points,POINT (8263463 3684325)
,Food Points,POINT (8264135 3684030)
,Food Points,POINT (8264983 3683992)
,Food Points,POINT (8265105 3683942)
,Food Points,POINT (8264748 3683893)
,Food Points,POINT (8264797 3683839)
,Food Points,POINT (8265137 3683836)
,Food Points,POINT (8264685 3683785)
,Food Points,POINT (8264390 3683736)
,Food Points,POINT (8264407 3683644)
,Food Points,POINT (8264690 3683589)
,Food Points,POINT (8264397 3683578)
,Food Points,POINT (8264448 3683279)
,Food Points,POINT (8264469 3683279)
,Food Points,POINT (8264308 3683267)
,Food Points,POINT (8264286 3683266)
,Food Points,POINT (8264403 3683228)
,Food Points,POINT (8264387 3683185)
,Food Points,POINT (8264395 3683073)
,Food Points,POINT (8263618 3686656)
,Food Points,POINT (8263834 3686590)
,Food Points,POINT (8263503 3686579)
,Food Points,POINT (8264415 3686551)
,Food Points,POINT (8264364 3686454)
,Food Points,POINT (8263410 3686399)
,Food Points,POINT (8264279 3686364)
,Food Points,POINT (8263541 3686359)
,Food Points,POINT (8264069 3685287)
,Food Points,POINT (8263262 3685133)
,Food Points,POINT (8263341 3685133)
,Food Points,POINT (8263263 3685027)
,Food Points,POINT (8264553 3688717)
,Food Points,POINT (8264935 3688468)
,Food Points,POINT (8264221 3688415)
,Food Points,POINT (8263266 3688287)
,Food Points,POINT (8264563 3688174)
,Food Points,POINT (8264974 3688104)
,Food Points,POINT (8264644 3688074)
,Food Points,POINT (8264599 3687863)
,Food Points,POINT (8264376 3687356)
,Food Points,POINT (8263269 3686887)
,Food Points,POINT (8264037 3686863)
,Food Points,POINT (8264302 3689916)
,Food Points,POINT (8264240 3689838)
,Food Points,POINT (8263745 3689197)
,Food Points,POINT (8264345 3688793)
,Food Points,POINT (8264811 3692556)
,Food Points,POINT (8264838 3692548)
,Food Points,POINT (8264902 3692532)
,Food Points,POINT (8264832 3692509)
,Food Points,POINT (8264907 3692454)
,Food Points,POINT (8263276 3692335)
,Food Points,POINT (8264208 3692078)
,Food Points,POINT (8264965 3691920)
,Food Points,POINT (8265023 3691512)
,Food Points,POINT (8265071 3691434)
,Food Points,POINT (8264478 3694424)
,Food Points,POINT (8264496 3694382)
,Food Points,POINT (8264473 3694317)
,Food Points,POINT (8264419 3694294)
,Food Points,POINT (8264472 3694286)
,Food Points,POINT (8264411 3694257)
,Food Points,POINT (8264361 3694226)
,Food Points,POINT (8264531 3694075)
,Food Points,POINT (8264488 3693980)
,Food Points,POINT (8264455 3693957)
,Food Points,POINT (8264679 3693947)
,Food Points,POINT (8264428 3693916)
,Food Points,POINT (8264337 3693853)
,Food Points,POINT (8264562 3693840)
,Food Points,POINT (8263545 3693813)
,Food Points,POINT (8264600 3693776)
,Food Points,POINT (8264661 3693763)
,Food Points,POINT (8263664 3693760)
,Food Points,POINT (8264609 3693755)
,Food Points,POINT (8264656 3693744)
,Food Points,POINT (8264681 3693724)
,Food Points,POINT (8263542 3693713)
,Food Points,POINT (8263424 3693691)
,Food Points,POINT (8264708 3693679)
,Food Points,POINT (8263496 3693676)
,Food Points,POINT (8264048 3693659)
,Food Points,POINT (8263340 3693650)
,Food Points,POINT (8263459 3693648)
,Food Points,POINT (8263885 3693599)
,Food Points,POINT (8264737 3693590)
,Food Points,POINT (8264698 3693556)
,Food Points,POINT (8264690 3693538)
,Food Points,POINT (8264751 3693526)
,Food Points,POINT (8263731 3693501)
,Food Points,POINT (8264796 3693490)
,Food Points,POINT (8264292 3693490)
,Food Points,POINT (8264701 3693479)
,Food Points,POINT (8264635 3693466)
,Food Points,POINT (8264790 3693447)
,Food Points,POINT (8263925 3693393)
,Food Points,POINT (8264827 3693255)
,Food Points,POINT (8264770 3693200)
,Food Points,POINT (8265102 3693199)
,Food Points,POINT (8264862 3693198)
,Food Points,POINT (8264939 3693183)
,Food Points,POINT (8264766 3693160)
,Food Points,POINT (8264842 3693148)
,Food Points,POINT (8264844 3693125)
,Food Points,POINT (8264567 3693089)
,Food Points,POINT (8264137 3693066)
,Food Points,POINT (8264786 3693056)
,Food Points,POINT (8264941 3693026)
,Food Points,POINT (8263941 3693014)
,Food Points,POINT (8264849 3693003)
,Food Points,POINT (8264931 3693000)
,Food Points,POINT (8264861 3692986)
,Food Points,POINT (8264870 3692985)
,Food Points,POINT (8264889 3692984)
,Food Points,POINT (8264828 3692977)
,Food Points,POINT (8264865 3692941)
,Food Points,POINT (8264809 3692905)
,Food Points,POINT (8264861 3692901)
,Food Points,POINT (8263431 3692893)
,Food Points,POINT (8264856 3692866)
,Food Points,POINT (8264874 3692858)
,Food Points,POINT (8264875 3692845)
,Food Points,POINT (8264724 3692843)
,Food Points,POINT (8264852 3692839)
,Food Points,POINT (8264871 3692821)
,Food Points,POINT (8264938 3692817)
,Food Points,POINT (8264880 3692813)
,Food Points,POINT (8264879 3692788)
,Food Points,POINT (8264878 3692769)
,Food Points,POINT (8264870 3692750)
,Food Points,POINT (8264998 3692702)
,Food Points,POINT (8263996 3692697)
,Food Points,POINT (8264872 3692667)
,Food Points,POINT (8264533 3696241)
,Food Points,POINT (8264422 3695867)
,Food Points,POINT (8264049 3695802)
,Food Points,POINT (8264060 3695775)
,Food Points,POINT (8264058 3695756)
,Food Points,POINT (8264208 3695648)
,Food Points,POINT (8264093 3695536)
,Food Points,POINT (8264097 3695525)
,Food Points,POINT (8263621 3695124)
,Food Points,POINT (8264650 3695057)
